LU	(can't) help	v	Self_control
LU	(in/out of) line	n	Compliance
LU	AIDS	n	Medical_conditions
LU	AK-47	n	Weapon
LU	Alzheimer's	n	Medical_conditions
LU	American	n	People_by_origin
LU	American [N and S Am]	n	People_by_origin
LU	April	n	Calendric_unit
LU	April Fool's Day	n	Commemorative
LU	Armistice Day	n	Commemorative
LU	August	n	Calendric_unit
LU	BW	n	Weapon
LU	Boxing Day	n	Commemorative
LU	Brit	n	People_by_origin
LU	Brobdingnagian	a	Size
LU	Bumblefuck	n	Isolated_places
LU	C4	n	Weapon
LU	CEO	n	Leadership
LU	CW	n	Weapon
LU	CWIED	n	Distant_operated_IED
LU	Californian	n	People_by_origin
LU	Chicagoan	n	People_by_origin
LU	Christian name	n	Being_named
LU	Christmas Day	n	Commemorative
LU	December	n	Calendric_unit
LU	Denverite	n	People_by_origin
LU	Dubliner	n	People_by_origin
LU	EFP	n	Weapon
LU	English	n	People_by_origin
LU	February	n	Calendric_unit
LU	Frenchman	n	People_by_origin
LU	Frenchwoman	n	People_by_origin
LU	Frenchy	n	People_by_origin
LU	Friday	n	Calendric_unit
LU	German measles	n	Medical_conditions
LU	Greek	n	People_by_origin
LU	ICBM	n	Weapon
LU	IED	n	Improvised_explosive_device
LU	Indian [American]	n	People_by_origin
LU	Iranian	n	People_by_origin
LU	Irish	n	People_by_origin
LU	January	n	Calendric_unit
LU	July	n	Calendric_unit
LU	June	n	Calendric_unit
LU	Kraut	n	People_by_origin
LU	LSD	n	Intoxicants
LU	Labor Day	n	Commemorative
LU	Lilliputian	a	Size
LU	MRE	n	Food
LU	March	n	Calendric_unit
LU	May	n	Calendric_unit
LU	Mexican	n	People_by_origin
LU	Monday	n	Calendric_unit
LU	New Yorker	n	People_by_origin
LU	November	n	Calendric_unit
LU	OK	a	Emotion_directed
LU	October	n	Calendric_unit
LU	PPIED	n	Victim_operated_IED
LU	PTO	n	Temporary_leave
LU	Passover Eve	n	Commemorative
LU	Persian	n	People_by_origin
LU	Podunk	n	Isolated_places
LU	RCIED	n	Distant_operated_IED
LU	RPG	n	Weapon
LU	SAF	n	Attack
LU	Saturday	n	Calendric_unit
LU	Scud-B	n	Weapon
LU	Scud-B missile	n	Weapon
LU	Scud-C missile	n	Weapon
LU	September	n	Calendric_unit
LU	Sunday	n	Calendric_unit
LU	TV room	n	Building_subparts
LU	Thursday	n	Calendric_unit
LU	Tuesday	n	Calendric_unit
LU	Turk	n	People_by_origin
LU	VBIED	n	Improvised_explosive_device
LU	VOIED	n	Victim_operated_IED
LU	WMD	n	Weapon
LU	Wednesday	n	Calendric_unit
LU	a bastard	n	Difficulty
LU	a bit	n	Hedging
LU	a bit	n	Quantified_mass
LU	a bitch	n	Difficulty
LU	a breeze	n	Difficulty
LU	a cinch	n	Difficulty
LU	a doddle	n	Difficulty
LU	a good	a	Proportional_quantity
LU	a little	n	Quantified_mass
LU	a little	r	Degree
LU	a little bit	r	Degree
LU	a lot	n	Quantified_mass
LU	a lot	r	Degree
LU	a pain	n	Difficulty
LU	a pain in the neck	n	Difficulty
LU	a piece of cake	n	Difficulty
LU	a snap	n	Difficulty
LU	a thing of the past	n	Out_of_existence
LU	a walk in the park	n	Difficulty
LU	a while	n	Measure_duration
LU	abandon	v	Abandonment
LU	abandon	v	Activity_stop
LU	abandon	v	Quitting_a_place
LU	abandoned	a	Abandonment
LU	abandonment	n	Abandonment
LU	abash	v	Experiencer_obj
LU	abashed	a	Emotion_directed
LU	abaya	n	Clothing
LU	abbreviate	v	Change_event_duration
LU	abduct	v	Kidnapping
LU	abducted	a	Kidnapping
LU	abduction	n	Kidnapping
LU	abductor	n	Kidnapping
LU	abet	v	Assistance
LU	abhor	v	Experiencer_focus
LU	abhorrence	n	Experiencer_focus
LU	abide (by)	v	Compliance
LU	abiding	a	Duration_description
LU	ability	n	Capability
LU	ablaze	a	Fire_burning
LU	able	a	Capability
LU	ablution	n	Grooming
LU	abnormal	a	Typicality
LU	abominable	a	Praiseworthiness
LU	abominable	a	Stimulus_focus
LU	abominate	v	Experiencer_focus
LU	abort	v	Cause_to_end
LU	abound	v	Abundance
LU	above-ground	a	Locative_relation
LU	abrade	v	Experience_bodily_harm
LU	abscond (with)	v	Theft
LU	absence	n	Presence
LU	absence	n	Temporary_leave
LU	absent	v	Temporary_leave
LU	absent-minded	a	Mental_property
LU	absorb	v	Soaking_up
LU	absorbed	a	Mental_stimulus_exp_focus
LU	absorbing	a	Mental_stimulus_stimulus_focus
LU	absorbing	a	Stimulus_focus
LU	abstain	v	Forgoing
LU	abstention	n	Forgoing
LU	abstinence	n	Forgoing
LU	abstract	v	Theft
LU	abstraction	n	Theft
LU	absurd	a	Mental_property
LU	absurdity	n	Mental_property
LU	abundance	n	Quantified_mass
LU	abundant	a	Abundance
LU	abuse	n	Abusing
LU	abuse	v	Abusing
LU	abusive	a	Abusing
LU	abustle	a	Lively_place
LU	abut	v	Adjacency
LU	abuzz	a	Lively_place
LU	accede	v	Sign_agreement
LU	accelerated	a	Change_position_on_a_scale
LU	accentuate	v	Emphasizing
LU	accept	v	Receiving
LU	accept	v	Respond_to_proposal
LU	acceptance	n	Respond_to_proposal
LU	access	n	Having_or_lacking_access
LU	access	v	Having_or_lacking_access
LU	accessible	a	Having_or_lacking_access
LU	accessorize	v	Filling
LU	accident	n	Catastrophe
LU	accident	n	Coincidence
LU	acclaim	n	Judgment_communication
LU	acclaim	v	Judgment_communication
LU	accolade	n	Judgment
LU	accompany	v	Cotheme
LU	accomplish	v	Accomplishment
LU	accomplishment	n	Accomplishment
LU	accord	n	Be_in_agreement_on_action
LU	accord	n	Documents
LU	accord	v	Compatibility
LU	account	n	Text
LU	account	v	Explaining_the_facts
LU	account	v	Justifying
LU	accoutrement	n	Accoutrements
LU	accredit	v	Appointing
LU	accredited	a	Appointing
LU	accumulate	v	Amassing
LU	accumulation	n	Amassing
LU	accuracy	n	Accuracy
LU	accurate	a	Accuracy
LU	accurate	a	Correctness
LU	accurately	r	Accuracy
LU	accusation	n	Judgment_communication
LU	accuse	v	Judgment
LU	accuse	v	Judgment_communication
LU	accuse	v	Notification_of_charges
LU	ace	a	Expertise
LU	ace	n	Expertise
LU	ace	v	Success_or_failure
LU	ache	v	Desiring
LU	ache	v	Perception_body
LU	achieve	v	Accomplishment
LU	achievement	n	Accomplishment
